"id","is_title","no_title","se_title","year","is_year","is_release","pages","chapters","translator","characters","est_publication"
1,"Álagafjötrar","Trollbundet","Trollbunden",1982,1982,NA,230,14,"Ingibjörg Jónsdóttir","Silja, Þengill",1982-02-25
2,"Nornaveiðar","Heksejakten","Häxjakten",1982,1982,NA,206,13,"Ingibjörg Jónsdóttir","Silja, Þengill, Sunna",1982-04-24
3,"Hyldýpið","Avgrunnen","Avgrunden",1982,1982,NA,215,14,"Ingibjörg Jónsdóttir","Sunna Angelika",1982-06-21
4,"Vonin","Lengsel","Längtan",1982,1982,NA,213,14,"Ingibjörg Jónsdóttir","Yrja",1982-08-18
5,"Dauðasyndin","Dødssynden","Dödssynden",1982,1983,NA,197,14,"Ingibjörg Jónsdóttir","Cecilie Meiden, Alexander Paladin",1982-10-15
6,"Illur arfur","Den onde arven","Det onda arvet",1982,1983,NA,195,14,"Ingibjörg Jónsdóttir","Þorgeir Lind, Matthías Meiden, Kolgrímur Meiden",1982-12-12
7,"Draugahöllin","Spøkelsesslottet","Spökslottet (novel)",1982,1983,NA,192,14,"Ingibjörg Jónsdóttir","Þráinn Paladín",1983-02-08
8,"Dóttir böðulsins","Bøddelens datter","Bödelns dotter",1982,1983,NA,192,14,"Ingibjörg Jónsdóttir","Hildur, Matthías Meiden",1983-04-07
9,"Skuggi fortíðar","Den ensomme","Den ensamme",1983,1983,NA,190,14,"Ingibjörg Jónsdóttir","Mikael Lind, Anette",1983-06-04
10,"Vetrarhríð","Vinterstorm","Vinterstorm",1983,1983,NA,189,14,"Ingibjörg Jónsdóttir","Villimey Kalebsdóttir, Eldar af Svartaskógi",1983-08-01
11,"Blóðhefnd","Blodhevn","Blodshämnd",1983,1984,NA,181,10,"Ingibjörg Jónsdóttir","Villimey Kalebsdóttir, Woller, Dominic Lind",1984-01-22
12,"Ástarfuni","Feber i blodet","Feber i blodet",1983,1984,1984-03-20,182,14,"Ingibjörg Jónsdóttir","Villimey Kalebsdóttir, Dominic Lind",1984-03-20
13,"Fótspor Satans","Satans fotspor","Satans fotspår",1983,1984,NA,189,14,"Ingibjörg Jónsdóttir","Villimey Kalebsdóttir, Dominic Lind, Nikulás af ætt Ísfólksins",1984-04-23
14,"Síðasti riddarinn","Den siste ridder","Den siste riddaren",1983,1984,1984-06-20,175,14,"Ingibjörg Jónsdóttir","Tristan Paladín, Hildigerður",1984-06-20
15,"Austanvindar","Vinden fra øst","Vinden från öster",1984,1984,1984-07-25,165,14,"Ingibjörg Jónsdóttir","Vendill Grip, Tun-sij",1984-07-25
16,"Gálgablómið","Galgeblomsten","Galgdockan",1984,1984,1984-08-30,173,14,"Ingibjörg Jónsdóttir","Dan Lind, Ingiríður Lind, Úlfhéðinn Paladín",1984-08-30
17,"Garður dauðans","Dødens have","Dödens trädgård",1984,1984,1984-10-11,160,12,"Ingibjörg Jónsdóttir","Daníel Lind, Shira dóttir Vendils",1984-10-11
18,"Gríman fellur","Bak fasaden","Bakom fasaden",1984,1984,1984-11-30,176,14,"Ingibjörg Jónsdóttir","Elísabet Paladín, Vermundur Tark",1984-11-30
19,"Tennur drekans","Dragens tenner","Drakens tänder",1984,1985,1985-01-25,169,14,"Ingibjörg Jónsdóttir","Sölvi Lind",1985-01-25
20,"Hrafnsvængir","Ravnens vinger","Korpens vingar",1985,1985,1985-03-01,176,14,"Ingibjörg Jónsdóttir","Heikir Lind, Mira, Pétur",1985-03-01
21,"Um óttubil","Djevlekløften","Vargtimmen",1985,1985,1985-04-01,175,13,"Ingibjörg Jónsdóttir","Gunnhildur í Knappholti, Arfur Grip, Heikir Lind",1985-04-01
22,"Jómfrúin og vætturin","Demonen og jomfruen","Demonen och jungfrun",1985,1985,1985-05-03,167,14,"Ingibjörg Jónsdóttir","Heikir Lind, Snivel dómari, Vinga Tark",1985-05-03
23,"Vorfórn","Våroffer","Våroffer",1985,1985,1985-06-04,175,14,"Ingibjörg Jónsdóttir","Vinga Tark, Snivel dómari, Heikir Lind, Gráa fólkið",1985-06-04
24,"Í iðrum jarðar","I jordens dyp","Djupt i jorden",1985,1985,1985-08-01,153,15,"Ingibjörg Jónsdóttir","Anna María Ólafsdóttir, Heikir Lind",1985-08-01
25,"Guðsbarn eða galdranorn","Engel med svarte vinger","Ängel med dolda horn",1985,1985,1985-10-08,122,14,"Ingibjörg Jónsdóttir","Þula, Heikir Lind, Tómas",1985-10-08
26,"Álagahúsið","Huset i Eldafjord","Huset i Eldafjord",1985,1985,1985-12-03,143,14,"Ingibjörg Jónsdóttir","Eldar af ætt Ísfólksins",1985-12-03
27,"Hneykslið","Skandalen","Synden har lång svans",1985,1986,1986-02-04,144,14,"Ingibjörg Jónsdóttir","Christer, Magdalena Bacman",1986-02-04
28,"Ís og eldur","Is og ild","Is och eld",1986,1986,1986-03-26,148,14,"Ingibjörg Jónsdóttir","Viljar, Heikir Lind, Þula",1986-03-26
29,"Ástir Lúcífers","Lucifers kjærlighet","Lucifers kärlek",1986,1986,1986-06-03,144,14,"Ingibjörg Jónsdóttir","Lúcífer, Saga, Marcel",1986-06-03
30,"Ókindin","Utysket","Människadjuret",1986,1986,1986-07-30,133,14,"Ingibjörg Jónsdóttir","Marco, Úlfar, Belinda, Viljar, Henning Lind, Malin",1986-07-30
31,"Ferjumaðurinn","Fergemannen","Färjkarlen",1986,1986,1986-10-05,121,14,"Ingibjörg Jónsdóttir","Benedikta, Sander",1986-10-05
32,"Hungur","Hunger","Hunger",1986,1986,1986-12-02,154,14,"Ingibjörg Jónsdóttir","Christoffer Volden, Benedikta",1986-12-02
33,"Martröð","Nattens demon","Nattens demon",1986,1987,1987-02-03,159,14,"Ingibjörg Jónsdóttir","Vanja, André",1987-02-03
34,"Konan á ströndinni","Kvinnen på stranden","Kvinnan på stranden",1986,1987,1987-04-07,188,14,"Ingibjörg Briem","André",1987-04-07
35,"Myrkraverk","Vandring i mørket","Vandring i mörkret",1987,1987,1987-06-02,190,14,"Ingibjörg Briem","Vetle",1987-06-02
36,"Galdratungl","Trollmåne","Trollmåne",1987,1987,1987-08-04,173,15,"Ingibjörg Briem","Christa, Frank Monisen, Tamlin, Lindeló",1987-08-04
37,"Vágestur","Skrekkens by","Stad i skräck",1987,1987,1987-10-06,151,14,"Ingibjörg Briem","Ríkharður Brink, Prúnk",1987-10-06
38,"Í skugga stríðsins","Skjulte spor","Små män kastar långa skuggor",1987,1987,1987-12-01,152,14,"Ingibjörg Briem","Jónatan, Karína",1987-12-01
39,"Raddirnar","Rop av stumme røster","Rop av stumma röster",1987,1988,1988-02-02,158,13,"Ingibjörg Briem","Ellen, Nataníel",1988-02-02
40,"Fangi tímans","Fanget av tiden","Fångad av tiden",1987,1988,1988-03-28,159,14,"Ingibjörg Briem","Nataníel, Þúfa, Ellen",1988-03-28
41,"Djöflafjallið","Demonenes fjell","Demonernas fjäll",1988,1988,1988-07-05,170,13,"Ingibjörg Briem","Ættarfundur",1988-07-05
42,"Úr launsátri","Stille før stormen","Lugnet före stormen",1988,1988,1988-09-06,178,15,"Ingibjörg Briem","""Fimmmenningarnrir""",1988-09-06
43,"Í blíðu og stríðu","Et streif av ømhet","En glimt av ömhet",1988,1988,1988-11-01,163,14,"Ingibjörg Briem","Þúfa",1988-11-01
44,"Skapadægur","Den onde dagen","Den onda dagen",1988,1989,1989-02-07,165,14,"Ingibjörg Briem","Lynx",1989-02-07
45,"Böðullinn","Legenden om Marco","Legenden om Marco",1989,1989,1989-04-25,151,14,"Ingibjörg Briem","Lynx, Marco, Christa",1989-04-25
46,"Svarta vatnið","Det svarte vannet","Det svarta vattnet",1989,1989,1989-07-04,165,14,"Ingibjörg Briem","Nataníel",1989-07-04
47,"Er einhver þarna úti?","Er det noen der ute?","Är det någon därute?",1989,1989,1989-09-15,157,15,"Ingibjörg Briem","Tan-ghil",1989-09-15
